.abbott	generic	Abbott Laboratories, Inc.
.abogado	generic	Top Level Domain Holdings Limited
.ac	country-code	Network Information Center (AC Domain Registry) c/o Cable and Wireless (Ascension Island)
.academy	generic	Half Oaks, LLC
.accountant	generic	dot Accountant Limited
.accountants	generic	Knob Town, LLC
.active	generic	The Active Network, Inc
.actor	generic	United TLD Holdco Ltd.
.ad	country-code	Andorra Telecom
.ads	generic	Charleston Road Registry Inc.
.adult	generic	ICM Registry AD LLC
.ae	country-code	Telecommunication Regulatory Authority (TRA)
.aero	sponsored	Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
.af	country-code	Ministry of Communications and IT
.afl	generic	Australian Football League
.ag	country-code	UHSA School of Medicine
.ai	country-code	Government of Anguilla
.agency	generic	Steel Falls, LLC
.airforce	generic	United TLD Holdco Ltd.
.al	country-code	Electronic and Postal Communications Authority - AKEP
.allfinanz	generic	Allfinanz Deutsche Vermögensberatung Aktiengesellschaft
.alsace	generic	REGION D ALSACE
.am	country-code	Internet Society
.amsterdam	generic	Gemeente Amsterdam
.an	country-code	University of Curacao
.android	generic	Charleston Road Registry Inc.
.ao	country-code	Faculdade de Engenharia da Universidade Agostinho Neto
.apartments	generic	June Maple, LLC
.aq	country-code	Antarctica Network Information Centre Limited
.aquarelle	generic	Aquarelle.com
.ar	country-code	Presidencia de la Nación – Secretaría Legal y Técnica
.archi	generic	STARTING DOT LIMITED
.army	generic	United TLD Holdco Ltd.
.arpa	infrastructure	Internet Architecture Board (IAB)
.as	country-code	AS Domain Registry
.asia	sponsored	DotAsia Organisation Ltd.
.associates	generic	Baxter Hill, LLC
.at	country-code	nic.at GmbH
.attorney	generic	United TLD Holdco, Ltd
.au	country-code	.au Domain Administration (auDA)
.auction	generic	United TLD HoldCo, Ltd.
.audio	generic	Uniregistry, Corp.
.autos	generic	DERAutos, LLC
.aw	country-code	SETAR
.ax	country-code	Ålands landskapsregering
.axa	generic	AXA SA
.az	country-code	IntraNS
.ba	country-code	Universtiy Telinformatic Centre (UTIC)
.band	generic	United TLD Holdco, Ltd
.bank	generic	fTLD Registry Services, LLC
.bar	generic	Punto 2012 Sociedad Anonima Promotora de Inversion de Capital Variable
.barclaycard	generic	Barclays Bank PLC
.barclays	generic	Barclays Bank PLC
.bargains	generic	Half Hallow, LLC
.bauhaus	generic	Werkhaus GmbH
.bayern	generic	Bayern Connect GmbH
.bb	country-code	Government of Barbados Ministry of Economic Affairs and Development Telecommunications Unit
.bbc	generic	British Broadcasting Corporation
.bd	country-code	Ministry of Post & Telecommunications Bangladesh Secretariat
.be	country-code	DNS Belgium vzw/asbl
.beer	generic	Top Level Domain Holdings Limited
.berlin	generic	dotBERLIN GmbH & Co. KG
.best	generic	BestTLD Pty Ltd
.bf	country-code	ARCE-AutoritÈ de RÈgulation des Communications Electroniques
.bg	country-code	Register.BG
.bh	country-code	Telecommunications Regulatory Authority (TRA)
.bi	country-code	Centre National de l'Informatique
.bid	generic	dot Bid Limited
.bike	generic	Grand Hollow, LLC
.bingo	generic	Sand Cedar, LLC
.bio	generic	STARTING DOT LIMITED
.biz	generic-restricted	NeuStar, Inc.
.bj	country-code	Benin Telecoms S.A.
.bl	country-code	Not assigned
.black	generic	Afilias Limited
.blackfriday	generic	Uniregistry, Corp.
.bloomberg	generic	Bloomberg IP Holdings LLC
.blue	generic	Afilias Limited
.bm	country-code	Registry General Ministry of Labour and Immigration
.bmw	generic	Bayerische Motoren Werke Aktiengesellschaft
.bn	country-code	Telekom Brunei Berhad
.bnpparibas	generic	BNP Paribas
.bo	country-code	Agencia para el Desarrollo de la Información de la Sociedad en Bolivia
.boats	generic	DERBoats, LLC
.bond	generic	Bond University Limited
.boo	generic	Charleston Road Registry Inc.
.boutique	generic	Over Galley, LLC
.bq	country-code	Not assigned
.br	country-code	Comite Gestor da Internet no Brasil
.brussels	generic	DNS.be vzw
.bs	country-code	The College of the Bahamas
.bt	country-code	Ministry of Information and Communications
.budapest	generic	Top Level Domain Holdings Limited
.build	generic	Plan Bee LLC
.builders	generic	Atomic Madison, LLC
.business	generic	Spring Cross, LLC
.buzz	generic	DOTSTRATEGY CO.
.bv	country-code	UNINETT Norid A/S
.bw	country-code	Botswana Communications Regulatory Authority (BOCRA)
.by	country-code	Reliable Software Inc.
.bz	country-code	University of Belize
.bzh	generic	Association www.bzh
.ca	country-code	Canadian Internet Registration Authority (CIRA) Autorite Canadienne pour les Enregistrements Internet (ACEI)
.cab	generic	Half Sunset, LLC
.cafe	generic	Pioneer Canyon, LLC
.cal	generic	Charleston Road Registry Inc.
.camera	generic	Atomic Maple, LLC
.camp	generic	Delta Dynamite, LLC
.cancerresearch	generic	Australian Cancer Research Foundation
.canon	generic	Canon Inc.
.capetown	generic	ZA Central Registry NPC trading as ZA Central Registry
.capital	generic	Delta Mill, LLC
.caravan	generic	Caravan International, Inc.
.cards	generic	Foggy Hollow, LLC
.care	generic	Goose Cross, LLC
.career	generic	dotCareer LLC
.careers	generic	Wild Corner, LLC
.cartier	generic	Richemont DNS Inc.
.casa	generic	Top Level Domain Holdings Limited
.cash	generic	Delta Lake, LLC
.casino	generic	Binky Sky, LLC
.cat	sponsored	Fundacio puntCAT
.catering	generic	New Falls. LLC
.cbn	generic	The Christian Broadcasting Network, Inc.
.cc	country-code	eNIC Cocos (Keeling) Islands Pty. Ltd. d/b/a Island Internet Services
.cd	country-code	Office Congolais des Postes et Télécommunications - OCPT
.center	generic	Tin Mill, LLC
.ceo	generic	CEOTLD Pty Ltd
.cern	generic	European Organization for Nuclear Research ("CERN")
.cf	country-code	Societe Centrafricaine de Telecommunications (SOCATEL)
.cfd	generic	DOTCFD REGISTRY LTD
.cg	country-code	ONPT Congo and Interpoint Switzerland
.ch	country-code	SWITCH The Swiss Education & Research Network
.channel	generic	Charleston Road Registry Inc.
.chat	generic	Sand Fields, LLC
.cheap	generic	Sand Cover, LLC
.chloe	generic	Richemont DNS Inc.
.christmas	generic	Uniregistry, Corp.
.chrome	generic	Charleston Road Registry Inc.
.church	generic	Holly Fileds, LLC
.ci	country-code	INP-HB Institut National Polytechnique Felix Houphouet Boigny
.citic	generic	CITIC Group Corporation
.city	generic	Snow Sky, LLC
.ck	country-code	Telecom Cook Islands Ltd.
.cl	country-code	NIC Chile (University of Chile)
.claims	generic	Black Corner, LLC
.cleaning	generic	Fox Shadow, LLC
.click	generic	Uniregistry, Corp.
.clinic	generic	Goose Park, LLC
.clothing	generic	Steel Lake, LLC
.club	generic	.CLUB DOMAINS, LLC
.cm	country-code	Cameroon Telecommunications (CAMTEL)
.cn	country-code	Computer Network Information Center, Chinese Academy of Sciences
.co	country-code	.CO Internet S.A.S.
.coach	generic	Koko Island, LLC
.codes	generic	Puff Willow, LLC
.coffee	generic	Trixy Cover, LLC
.college	generic	XYZ.COM LLC
.cologne	generic	NetCologne Gesellschaft für Telekommunikation mbH
.com	generic	VeriSign Global Registry Services
.community	generic	Fox Orchard, LLC
.company	generic	Silver Avenue, LLC
.computer	generic	Pine Mill, LLC
